Site,Date,Turbidity(NTU) at 12AM,Turbidity(NTU) at 4AM,Turbidity(NTU) at 8AM,Turbidity(NTU) at 12PM,Turbidity(NTU) at 4PM,Turbidity(NTU) at 8PM,Average 24hrTurbidity(NTU),"Coliform, Fecal(fc/100mL)"
DEL18DT,2019-11-02,0.75,0.7,0.7,0.7,0.7,0.7,0.71,E2
DEL18DT,2019-11-17,1.1,1.1,1.1,1,1.1,1,1.07,E2
DEL18DT,2019-11-22,0.75,0.7,0.75,0.7,0.75,0.8,0.74,E1
DEL18DT,2019-11-23,0.7,0.8,0.75,0.75,0.7,0.75,0.74,<1
DEL18DT,2019-11-16,1.2,1.1,1.2,1.1,1.1,1.1,1.13,E1
DEL18DT,2019-11-26,0.7,0.65,0.7,0.75,0.75,0.75,0.72,<1
DEL18DT,2019-11-08,0.7,0.75,0.65,0.7,0.6,0.65,0.68,E2
DEL18DT,2019-11-20,0.65,0.65,0.7,0.7,0.7,0.7,0.68,E2
DEL18DT,2019-11-10,0.65,0.65,0.7,0.7,0.75,0.75,0.7,E2
DEL18DT,2019-11-06,0.65,0.65,0.65,0.6,0.65,0.7,0.65,E2
DEL18DT,2019-11-15,0.65,0.65,0.65,0.65,0.7,0.95,0.71,E1
DEL18DT,2019-11-18,0.9,1,1.1,0.65,0.65,0.75,0.84,E1
DEL18DT,2019-11-09,0.65,0.65,0.7,0.7,0.7,0.65,0.68,E2
DEL18DT,2019-11-07,0.65,0.65,0.75,0.65,0.65,0.75,0.68,E3
DEL18DT,2019-11-04,0.65,0.65,0.65,0.7,0.65,0.75,0.68,E2
DEL18DT,2019-11-28,0.75,0.8,0.8,0.8,0.75,0.8,0.78,E1
DEL18DT,2019-11-03,0.7,0.7,0.75,0.65,0.7,0.7,0.7,E5
DEL18DT,2019-11-21,0.7,0.7,0.65,0.7,0.75,0.65,0.69,E3
DEL18DT,2019-11-25,0.75,0.75,0.75,0.75,0.65,0.75,0.73,E1
DEL18DT,2019-11-12,0.7,0.7,0.7,0.8,0.75,0.85,0.75,<1
DEL18DT,2019-11-29,0.75,0.75,0.75,0.7,0.75,0.7,0.73,E2
DEL18DT,2019-11-19,0.7,0.7,0.7,0.65,0.65,0.65,0.68,E1
DEL18DT,2019-11-27,0.7,0.75,0.75,0.8,0.7,0.85,0.76,<1
DEL18DT,2019-11-30,0.7,0.7,0.75,0.7,0.7,0.75,0.72,E1
DEL18DT,2019-11-24,0.7,0.65,0.7,0.8,0.8,0.75,0.73,<1
DEL18DT,2019-11-13,0.7,0.75,0.85,0.7,0.7,0.75,0.74,E1
DEL18DT,2019-11-05,0.75,0.65,0.65,0.65,0.65,0.7,0.68,<1
DEL18DT,2019-11-11,0.75,0.75,0.75,0.7,0.7,0.75,0.73,E1
DEL18DT,2019-11-14,0.65,0.65,0.75,0.65,0.65,0.65,0.67,<1
DEL18DT,2019-11-01,0.65,0.7,0.75,0.7,0.7,0.7,0.7,E5
DEL18DT,2019-12-05,0.75,0.8,0.8,0.7,0.75,0.8,0.77,E1
DEL18DT,2019-12-07,0.7,0.65,0.7,0.65,0.7,0.85,0.71,E4
DEL18DT,2019-12-12,0.7,0.8,0.75,0.75,0.8,0.75,0.76,E2
DEL18DT,2019-12-04,0.7,0.7,0.7,0.85,0.75,0.8,0.75,E1
DEL18DT,2019-12-02,0.9,0.9,0.9,0.9,1.1,0.9,0.93,E5
DEL18DT,2019-12-10,0.75,0.85,0.9,0.75,0.75,0.7,0.78,<1
DEL18DT,2019-12-19,0.85,0.75,0.8,0.7,0.7,0.65,0.74,E1
DEL18DT,2019-12-14,0.7,0.7,0.7,0.8,0.85,0.85,0.77,E1
DEL18DT,2019-12-22,0.7,0.7,0.75,0.85,0.8,0.75,0.76,E4
DEL18DT,2019-12-13,0.8,0.85,0.85,0.7,0.7,0.65,0.76,E2
DEL18DT,2019-12-08,0.8,0.7,0.85,0.7,0.7,0.75,0.75,E2
DEL18DT,2019-12-20,0.75,0.65,0.75,0.75,0.75,0.9,0.76,E6
DEL18DT,2019-12-27,0.65,0.65,0.65,0.65,0.55,0.6,0.63,E2
DEL18DT,2019-12-21,0.7,0.7,0.7,0.75,0.75,0.75,0.73,E2
DEL18DT,2019-12-24,0.75,0.75,0.7,0.7,0.7,0.7,0.72,<1
DEL18DT,2019-12-18,0.65,0.7,0.75,0.7,0.9,0.75,0.74,E2
DEL18DT,2019-12-09,0.75,0.7,0.8,0.8,0.7,0.7,0.74,<1
DEL18DT,2019-12-31,0.85,0.75,0.75,0.7,0.65,0.7,0.73,E1
DEL18DT,2019-12-01,0.7,0.7,0.75,0.7,1,0.8,0.78,E1
DEL18DT,2019-12-23,0.75,0.7,0.75,0.7,0.7,0.8,0.73,<1
DEL18DT,2019-12-03,0.9,0.9,0.9,0.75,0.7,0.75,0.82,E3
DEL18DT,2019-12-17,0.7,0.7,0.75,0.75,0.7,0.65,0.71,E1
DEL18DT,2019-12-26,0.7,0.7,0.7,0.7,0.6,0.6,0.67,<1
DEL18DT,2019-12-15,0.85,0.75,0.85,0.85,0.8,0.8,0.82,E3
DEL18DT,2019-12-16,0.85,0.7,0.7,0.75,0.7,0.75,0.74,E1
DEL18DT,2019-12-28,0.6,0.6,0.65,0.7,0.65,0.6,0.63,E1
DEL18DT,2019-12-29,0.65,0.6,0.7,0.85,0.85,0.9,0.76,<1
