"","Source","Turbidity","Ecoli","Precipitation","Temperature"
"1","0",1.04,"<1",0,17.8
"2","0",0.92,"<1",0,15
"3","0",0.9,"<1",0,16.7
"4","0",0.83,"7",31.2,10.6
"5","0",0.91,"1",0,16.1
"6","1",0.89,"10",5.3,17.8
"7","1",0.89,"10",5.3,17.8
"8","0",0.73,"<1",0,15
"9","0",0.66,"<1",0,17.8
"10","0",0.56,"<1",0,23.3
"11","0",0.54,"<1",34,19.4
"12","0",0.79,"1",0,16.7
"13","0",0.63,"<1",0,17.2
"14","0",0.67,"1",0,18.3
"15","0",0.78,"<1",0,18.9
"16","0",0.73,"<1",0,19.4
"17","0",0.73,"<1",0,18.3
"18","0",0.72,"<1",0.3,12.8
"19","0",0.61,"<1",0,9.4
"20","0",0.77,"<1",0,15.6
"21","0",0.6,"<1",0,7.8
"22","0",0.74,"1",0,11.7
"23","0",0.58,"1",0,-5
"24","1",0.64,"<1",3,0
"25","0",0.79,"3",0,4.4
"26","0",0.8,"1",0,2.8
"28","1",0.68,"2",0,-6.7
"29","0",0.71,"2",0,-2.8
"30","0",0.81,"<1",0,-3.3
"31","0",0.8,"<1",0,8.9
"32","0",0.8,"<1",0,8.9
"33","0",0.78,"<1",0,0
"34","0",0.78,"<1",0,0
"35","1",0.74,"<1",0.5,1.1
"36","1",0.74,"<1",0.5,1.1
"37","1",0.83,"<1",0,-2.2
"38","1",0.8,"3",18.5,-1.7
"39","0",0.77,"<1",0,-9.4
"40","2",0.79,"2",0,-9.4
"41","1",0.83,"<1",0,-1.1
"42","4",0.98,"<1",0,1.7
"43","0",0.93,"2",13.7,6.1
"44","3",0.92,"<1",0,-2.2
"45","0",0.89,"1",0,0
"46","5",0.87,"<1",0,-2.2
"47","0",0.97,"1",0,8.3
"48","3",0.9,"<1",0.8,0.6
"49","3",0.88,"<1",0,-1.7
"50","0",0.98,"<1",5.1,5
"51","0",0.94,"<1",0,3.9
"52","0",0.94,"<1",0,3.9
"53","0",0.85,"<1",0,7.8
"55","1",0.73,"<1",8.1,8.3
"56","1",0.74,"1",0,8.9
"57","1",0.8,"2",0.3,18.9
"58","1",0.71,"<1",23.6,17.2
"59","0",0.79,"<1",0,11.7
"60","2",1.43,"1",0,12.8
"61","0",1.43,"1",0,12.8
"62","0",0.87,"<1",0,13.3
"63","0",0.74,"1",8.6,19.4
"64","1",0.67,"<1",0,15
